L1,L2,L2_path,size,label,top_terms
0,0,0.0,638,"systems, information, research, information systems, development, paper, organizational, approach","systems, information, research, information systems, development, paper, organizational, approach, design, jatsp, decision, theory"
0,1,0.1,150,"reviews, product, online, consumers, products, ratings, review, consumer","reviews, product, online, consumers, products, ratings, review, consumer, quality, online reviews, rating, product reviews"
0,2,0.2,207,"social, media, social media, trust, virtual, network, team, users","social, media, social media, trust, virtual, network, team, users, communication, online, capital, community"
0,3,0.3,305,"firms, performance, firm, investments, technology, business, outsourcing, value","firms, performance, firm, investments, technology, business, outsourcing, value, strategic, information technology, market, investment"
0,4,0.4,125,"digital, transformation, digital transformation, innovation, platform, platforms, infrastructure, digital platforms","digital, transformation, digital transformation, innovation, platform, platforms, infrastructure, digital platforms, research, infrastructures, digital technologies, technologies"
0,5,0.5,129,"knowledge, knowledge management, knowledge sharing, management, sharing, process, design, knowledge creation","knowledge, knowledge management, knowledge sharing, management, sharing, process, design, knowledge creation, creation, innovation, communities, transfer"
1,0,1.0,511,"systems, information, decision, information systems, management, support, development, design","systems, information, decision, information systems, management, support, development, design, university, expert, paper, research"
1,1,1.1,407,"consumers, pricing, product, consumer, market, price, online, advertising","consumers, pricing, product, consumer, market, price, online, advertising, firms, jatsp, products, service"
1,2,1.2,142,"social, media, social media, content, news, users, messages, posts","social, media, social media, content, news, users, messages, posts, user, crisis, twitter, fake news"
1,3,1.3,129,"software, development, software development, open source, open, oss, source, vendor","software, development, software development, open source, open, oss, source, vendor, piracy, quality, proprietary, project"
1,4,1.4,43,"auctions, bidders, auction, bidding, combinatorial, combinatorial auctions, bid, bids","auctions, bidders, auction, bidding, combinatorial, combinatorial auctions, bid, bids, bidder, bidding strategies, strategies, mechanism"
1,5,1.5,789,"digital, research, platforms, work, jatsp, study, platform, ai","digital, research, platforms, work, jatsp, study, platform, ai, knowledge, data, health, theory"
2,0,2.0,114,"adoption, technology, research, information, organizational, model, innovation, satisfaction","adoption, technology, research, information, organizational, model, innovation, satisfaction, theory, use, characteristics, systems"
