abstract,title,journal,year,doi,authors,referenced_works,L1,L2,L1_label,L2_label
this article draws together and examines research findings and practical industrial experiences related to computerbased information systems its purpose is to identify a set of the most fundamental principles that have emerged in the field to guide development information systems in organizations it also presents a foundation from which further research efforts can be launched the characteristics of computerbased information systems are examined as background technical and developmental principles are then examined including such important areas as data management data independence and information system structure behavioral and organizational principles are discussed next encompassing resistance to systems user and management involvement in development activities and integration of systems into the organization finally the question of where do we go from here is raised to point out areas needing continued research and development,Essential Principles of Information Systems Development,MIS Quarterly,1978.0,10.2307/248938,"[{'affiliation': array([], dtype=object), 'family': 'Senn', 'given': 'James A.', 'sequence': 'first'}]","['https://openalex.org/W1523141340' 'https://openalex.org/W1531643854'
 'https://openalex.org/W1549504660' 'https://openalex.org/W1572137494'
 'https://openalex.org/W1999767016' 'https://openalex.org/W2006783182'
 'https://openalex.org/W2025539711' 'https://openalex.org/W2031247304'
 'https://openalex.org/W2040989939' 'https://openalex.org/W2054384746'
 'https://openalex.org/W2060226610' 'https://openalex.org/W2068153431'
 'https://openalex.org/W2096595936' 'https://openalex.org/W2126620275'
 'https://openalex.org/W2147408035' 'https://openalex.org/W2149245795'
 'https://openalex.org/W2626355162' 'https://openalex.org/W2799164058'
 'https://openalex.org/W631613230']",2,-1,"managers, information, requirements, approach, systems, field, information systems, critical",
a profusion of technology is insufficient to implement effective computer systems without the full utilization of human resources to develop such systems the issue of fully developing and utilizing available human resources is currently receiving careful scrutiny in the mis literature one methodology for fully utilizing human resources has been maximizing productivity by stressing team effort this research focuses on evaluating the systems development activities of two mis project teams empirical evidence was gathered from interviews with mis personnel and key users concerning strengthsweaknesses of the two project teams analysis was performed to determine the personality characteristics as measured by the myersbriggs type indicator of the mis staff the results of this analysis indicated a void of certain personality styles in project team one this void correlated with weaknesses ascertained from the interview data for project team one project team two with all four personality types represented was evaluated as very successful recommendations are made for assembling project teams based on these findings,MIS Project Teams: An Investigation of Cognitive Style Implications,MIS Quarterly,1984.0,10.2307/249346,"[{'affiliation': array(['University of North Carolina at Greensboro'], dtype=object), 'family': 'White', 'given': 'Kathy Brittain', 'sequence': 'first'}]","['https://openalex.org/W1531486736' 'https://openalex.org/W1564930140'
 'https://openalex.org/W1565820044' 'https://openalex.org/W1574834327'
 'https://openalex.org/W1598356421' 'https://openalex.org/W1734084043'
 'https://openalex.org/W1982025755' 'https://openalex.org/W1982272301'
 'https://openalex.org/W1999305554' 'https://openalex.org/W2040989939'
 'https://openalex.org/W2046239591' 'https://openalex.org/W2081358897'
 'https://openalex.org/W2085944764' 'https://openalex.org/W2096317043'
 'https://openalex.org/W2110873902' 'https://openalex.org/W2119663117'
 'https://openalex.org/W2152459335' 'https://openalex.org/W2329434050'
 'https://openalex.org/W24276333']",0,-1,"mis, systems, information systems, literature, information, research, terms, based",
the internal auditors role during the design phase of an edp application is unclear in many organizations this article integrates recent literature with the authors survey in an attempt to explain more precisely the potential roles of the internal auditor in the systems development process in practice four roles appear to exist in the order of their importance they are 1 audit of control adequacy 2 audit of design process 3 auditor as a user of the application and 4 auditor participant in the design process the rank ordering of these roles in practice is explainable in terms of three constraints upon internal audit involvement during the design phase the identified constraints are those of audit approach audit independence and management objectives although edp manager reaction to internal audit involvement is generally favorable it could be stronger upgrading of internal auditor expertise in edp systems appears to be the key to improved acceptance finally the potential contribution to the mis manager of internal audit involvement is noted and means of constructive interaction are suggested,The Internal Auditor's Role in MIS Developments,MIS Quarterly,1978.0,10.2307/248904,"[{'affiliation': array([], dtype=object), 'family': 'Rittenberg', 'given': 'Larry E.', 'sequence': 'first'}
 {'affiliation': array([], dtype=object), 'family': 'Purdy', 'given': 'Charles R.', 'sequence': 'additional'}]","['https://openalex.org/W1481628372' 'https://openalex.org/W2063686646'
 'https://openalex.org/W2127939909' 'https://openalex.org/W226404764'
 'https://openalex.org/W380698869']",0,-1,"mis, systems, information systems, literature, information, research, terms, based",
this article presents a method used by the hennepin county information services development staff to determine how best to use new development methods the tool described and the method for using it were designed to help both data processing personnel and user personnel make the transition from using one development approach only to a variety of approaches using new technologies and methods in brief the application approach worksheet is a document used by midlevel and senior user management to identify in data processing terms the characteristics of a proposed application once the applications characteristics are defined the user utilized the worksheets matrix to determine which development might by most appropriate for the application the completed worksheet and a work request then becomes the basis to propose development of the new application at that point an information services department isd project manger discusses the application with the user together they agree on the projects priority relative to other projects and work out how the project will be handled in general this article first describes the environment in which the application approach worksheet was developed and the circumstances that led to its development the article goes on to discuss how the worksheet was created and describes the criteria that form the heart of the document finally the article describes how the worksheet is used and discusses the results of its use since it became a part of the work request process in january of 1983,The Application Approach Worksheet: An Evaluative Tool for Matching New Development Methods with Appropriate Applications,MIS Quarterly,1983.0,10.2307/248742,"[{'affiliation': array([], dtype=object), 'family': 'Shomenta', 'given': 'Jack', 'sequence': 'first'}
 {'affiliation': array([], dtype=object), 'family': 'Kamp', 'given': 'G.C. van der', 'sequence': 'additional'}
 {'affiliation': array([], dtype=object), 'family': 'Hanson', 'given': 'Bob', 'sequence': 'additional'}
 {'affiliation': array([], dtype=object), 'family': 'Simpson', 'given': 'Brandon', 'sequence': 'additional'}]",,1,3,"analysis, approach, behavioral, cognitive, design, development, form, integration, management, model","cognitive, user, users, form, methods, key, studies, reveal"
planning is a basic organizational decisionmaking activity often requiring the judgment and expertise of a group of organization members computer and communications support for the planning process can help individuals and groups who may have different perspectives and priorities to communicate and coordinate their activities this article examines how groups organize their planning and decisionmaking activities in a number of application areas and identifies their requirements in terms of communication structures and online information systems capabilities examples are given from engineering projects computer projects scientific communities company planning and crisis management the applicability of a distributed decisionmaking approach to organizing information systems support is assessed as a way of meeting these requirements,Information Systems Support for Group Planning and Decision-Making Activities,MIS Quarterly,1985.0,10.2307/248952,"[{'affiliation': array(['University of Bradford'], dtype=object), 'family': 'Rathwell', 'given': 'Margaret A.', 'sequence': 'first'}
 {'affiliation': array(['University of Bradford'], dtype=object), 'family': 'Burns', 'given': 'Alan', 'sequence': 'additional'}]","['https://openalex.org/W112872855' 'https://openalex.org/W1481163055'
 'https://openalex.org/W1498240737' 'https://openalex.org/W1522627195'
 'https://openalex.org/W1527944521' 'https://openalex.org/W1534734121'
 'https://openalex.org/W1564514225' 'https://openalex.org/W1583086350'
 'https://openalex.org/W1590859763' 'https://openalex.org/W1600398602'
 'https://openalex.org/W1604619173' 'https://openalex.org/W2012665244'
 'https://openalex.org/W2043671329' 'https://openalex.org/W2086687094'
 'https://openalex.org/W2095307789' 'https://openalex.org/W2123586642'
 'https://openalex.org/W2127851689' 'https://openalex.org/W2137186082'
 'https://openalex.org/W2247316595' 'https://openalex.org/W2798357780'
 'https://openalex.org/W82536027' 'https://openalex.org/W82717009'
 'https://openalex.org/W91975816']",1,1,"analysis, approach, behavioral, cognitive, design, development, form, integration, management, model","planning, organization, management, organizational, support, use, requirements, literature"
although the management of information assetsspecifically of text documents that make up 80 percent of these assetsan provide organizations with a competitive advantage the ability of information retrieval ir systems to deliver relevant information to users is severely hampered by the difficulty of disambiguating natural language the word ambiguity problem is addressed with moderate success in restricted settings but continues to be the main challenge for general settings characterized by large heterogeneous document collections in this paper we provide preliminary evidence for the usefulness of statistical natural language processing nlp techniques and specifically of collocation indexing for ir in general settings we investigate the effect of three key parameters on collocation indexing performance directionality distance and weighting we build on previous work in ir to 1 advance our knowledge of key design elements for collocation indexing 2 demonstrate gains in retrieval precision from the use of statistical nlp for generalsettings ir and finally 3 provide practitioners with a useful costbenefit analysis of the methods under investigation,Enhancing Information Retrieval through Statistical Natural Language Processign: A Study of Collocation Indexing,MIS Quarterly,2007.0,10.2307/25148806,"[{'affiliation': array(['University of Alberta'], dtype=object), 'family': 'Arazy', 'given': '', 'sequence': 'first'}
 {'affiliation': array(['University of British Columbia'], dtype=object), 'family': 'Woo', 'given': '', 'sequence': 'additional'}]","['https://openalex.org/W11171803' 'https://openalex.org/W1498382685'
 'https://openalex.org/W1540444283' 'https://openalex.org/W1554385128'
 'https://openalex.org/W1563134378' 'https://openalex.org/W1574901103'
 'https://openalex.org/W1593045043' 'https://openalex.org/W17684'
 'https://openalex.org/W1864657091' 'https://openalex.org/W1956559956'
 'https://openalex.org/W1965102537' 'https://openalex.org/W1970161214'
 'https://openalex.org/W1978394996' 'https://openalex.org/W1995461500'
 'https://openalex.org/W2014706780' 'https://openalex.org/W2018548390'
 'https://openalex.org/W2043909051' 'https://openalex.org/W2081580037'
 'https://openalex.org/W2084334506' 'https://openalex.org/W2093390569'
 'https://openalex.org/W2095368471' 'https://openalex.org/W2098162425'
 'https://openalex.org/W2105588112' 'https://openalex.org/W2126129257'
 'https://openalex.org/W2131738124' 'https://openalex.org/W2132568829'
 'https://openalex.org/W2136451344' 'https://openalex.org/W2147152072'
 'https://openalex.org/W2153927559' 'https://openalex.org/W2161740415'
 'https://openalex.org/W2165612380' 'https://openalex.org/W2979401726'
 'https://openalex.org/W30715791' 'https://openalex.org/W55312212'
 'https://openalex.org/W69295931']",1,2,"analysis, approach, behavioral, cognitive, design, development, form, integration, management, model","analysis, new, technology, provide, integration, management, social, empirical"
jatspweak passwords are one of the most pervasive threats in cybersecurity facing this threat users require guidance on how to protect themselves a method frequently used by is practitioners and researchers to provide this guidance is fear appeals persuasive messages intended to prompt behavioral changes in response to a threat however previous research has not considered a key element of fear appeal effectiveness task primacy when fear appeals are a part of the primary or focal task users’ cognitive engagement will be high by default however when fear appeals are delivered as secondary tasks such as interruptive security messages users’ engagement is likely to be low because the primary task takes priority in attentional and cognitive resources in such cases a remedy is needed to elicit engagement with the fear appealjatsp jatspin this research note we theorize that cognitive engagement acts as a contextual moderator that is critical to the effectiveness of fear appeals under the boundary condition of task primacy further we theorize that interactivity a mechanism that adapts message content through tailored realtime feedback in response to a user’s actions is a key remedy to enhance engagement with fear appeals however to date fear appeals have largely been tested in noninteractive primary tasks and no study has provided a theoretical explanation for why interactivity enhances the power of a fear appealjatsp jatspwe empirically examined engagement as a contextual moderator in two ways first we conducted a field experiment which manipulated messages on a password creation form on a realworld website second we performed a qualitative focus group study to triangulate the experimental results and more fully reify our theoretical model together the findings reveal that interactivity acts as a catalyst to engage participants with a fear appeal which then allows the persuasive message of the fear appeal to be internalized the concepts of boundary condition of task primacy and engagement suggest ways that fear appeals can be more effectively applied in research and practicejatsp,Do Security Fear Appeals Work When They Interrupt Tasks? A Multi-Method Examination of Password Strength,MIS Quarterly,2022.0,10.25300/misq/2022/15511,"[{'affiliation': array(['Virginia Tech'], dtype=object), 'family': 'Vance', 'given': 'Anthony', 'sequence': 'first'}
 {'affiliation': array(['University of Colorado Boulder'], dtype=object), 'family': 'Eargle', 'given': 'David', 'sequence': 'additional'}
 {'affiliation': array([], dtype=object), 'family': 'Eggett', 'given': 'Dennis L.', 'sequence': 'additional'}
 {'affiliation': array(['Brigham Young University'], dtype=object), 'family': 'Straub', 'given': 'Detmar W.', 'sequence': 'additional'}
 {'affiliation': array(['Temple University'], dtype=object), 'family': 'Ouimet', 'given': 'Kirk', 'sequence': 'additional'}]","['https://openalex.org/W116282327' 'https://openalex.org/W129912261'
 'https://openalex.org/W135928568' 'https://openalex.org/W1466389411'
 'https://openalex.org/W1484864026' 'https://openalex.org/W1615506555'
 'https://openalex.org/W1843175506' 'https://openalex.org/W1970797462'
 'https://openalex.org/W1997092577' 'https://openalex.org/W1998284588'
 'https://openalex.org/W2004400415' 'https://openalex.org/W2017785078'
 'https://openalex.org/W2027415504' 'https://openalex.org/W2030112111'
 'https://openalex.org/W2031877904' 'https://openalex.org/W2051914653'
 'https://openalex.org/W2052490674' 'https://openalex.org/W2053076487'
 'https://openalex.org/W2053474249' 'https://openalex.org/W2067019646'
 'https://openalex.org/W2069688249' 'https://openalex.org/W2099647042'
 'https://openalex.org/W2113438962' 'https://openalex.org/W2124421215'
 'https://openalex.org/W2140294498' 'https://openalex.org/W2146982538'
 'https://openalex.org/W2154423338' 'https://openalex.org/W2154487671'
 'https://openalex.org/W2159759652' 'https://openalex.org/W2345911458'
 'https://openalex.org/W2407226211' 'https://openalex.org/W2512279548'
 'https://openalex.org/W2521575486' 'https://openalex.org/W2589873618'
 'https://openalex.org/W2622838936' 'https://openalex.org/W2680793898'
 'https://openalex.org/W2726261556' 'https://openalex.org/W2740284219'
 'https://openalex.org/W2744904120' 'https://openalex.org/W2759082287'
 'https://openalex.org/W2760340879' 'https://openalex.org/W2768611354'
 'https://openalex.org/W2782420259' 'https://openalex.org/W2788386415'
 'https://openalex.org/W2800791576' 'https://openalex.org/W2802785742'
 'https://openalex.org/W2883296141' 'https://openalex.org/W2891790212'
 'https://openalex.org/W2891820333' 'https://openalex.org/W2898579639'
 'https://openalex.org/W2913050258' 'https://openalex.org/W2924508986'
 'https://openalex.org/W2939188745' 'https://openalex.org/W2966862244'
 'https://openalex.org/W2974404758' 'https://openalex.org/W2975044477'
 'https://openalex.org/W324885528' 'https://openalex.org/W4230514847'
 'https://openalex.org/W4240661022' 'https://openalex.org/W4256123490'
 'https://openalex.org/W4289219250' 'https://openalex.org/W4292811746'
 'https://openalex.org/W4376044081']",1,3,"analysis, approach, behavioral, cognitive, design, development, form, integration, management, model","cognitive, user, users, form, methods, key, studies, reveal"
jatspalthough financial fraud detection research has made impressive progress because of advanced machine learning algorithms constructing features or attributes that can effectively signal fraudulent behaviors remains a challenge in recent years a new type of fraud has emerged on peertopeer p2p lending platforms where individuals can borrow money from others without a financial intermediary in these markets the information asymmetry problem is seriously elevated inspired by the fraud triangle theory and its extensions and using the design science research methodology we construct five categories of behavioral features directly from p2p lending transaction data in addition to the baseline features regarding borrowers and loan requests these behavioral features are intended to capture the fraud capability integrity and opportunity of fraudsters based on their loan requests and payment histories connected peers bidding process characteristics and activity sequences using datasets from real users on two large p2p lending platforms in china our evaluation results show that combining these additional features with the baseline features significantly enhances detection performance this design science research contributes novel knowledge to the financial fraud detection literature and practicejatsp,Peer-to-Peer Loan Fraud Detection: Constructing Features from Transaction Data,MIS Quarterly,2022.0,10.25300/misq/2022/16103,"[{'affiliation': array([], dtype=object), 'family': 'Xu', 'given': 'Jennifer', 'sequence': 'first'}
 {'affiliation': array([], dtype=object), 'family': 'Chen', 'given': 'Dongyu', 'sequence': 'additional'}
 {'affiliation': array([], dtype=object), 'family': 'Chau', 'given': 'Michael', 'sequence': 'additional'}
 {'affiliation': array([], dtype=object), 'family': 'Li', 'given': 'Liting', 'sequence': 'additional'}
 {'affiliation': array([], dtype=object), 'family': 'Zheng', 'given': 'Haichao', 'sequence': 'additional'}]",,1,4,"analysis, approach, behavioral, cognitive, design, development, form, integration, management, model","design, process, problem, development, results, knowledge, patterns, paper"
in generalizing generalizability in information systems research lee and baskerville 2003 try to clarify generalization and classify it into four types unfortunately their account is problematic we propose repairs central among these is our balanceofevidence argument that we should adopt the view that humes problem of induction has a solution even if we do not know what it is we build upon this by proposing an alternative classification of induction there are five types of generalization 1 theoretical 2 withinpopulation 3 crosspopulation 4 contextual and 5 temporal with theoretical generalization being across the empirical and theoretical levels and the rest within the empirical level our classification also includes two kinds of inductive reasoning that do not belong to the domain of generalization we then discuss the implications of our classification for information systems research,"Generalization and Induction: Misconceptions, Clarifications, and a Classification of Induction",MIS Quarterly,2012.0,10.2307/41703478,"[{'affiliation': array(['The University of Texas at Dallas'], dtype=object), 'family': 'Tsang', 'given': 'Eric W. K.', 'sequence': 'first'}
 {'affiliation': array(['Singapore Management University'], dtype=object), 'family': 'Williams', 'given': 'John', 'sequence': 'additional'}]","['https://openalex.org/W100592892' 'https://openalex.org/W1482337216'
 'https://openalex.org/W1491087240' 'https://openalex.org/W1495879203'
 'https://openalex.org/W1527311855' 'https://openalex.org/W1552168531'
 'https://openalex.org/W1559286829' 'https://openalex.org/W1566773795'
 'https://openalex.org/W1567941284' 'https://openalex.org/W1584405424'
 'https://openalex.org/W1587819869' 'https://openalex.org/W1635854582'
 'https://openalex.org/W1730782591' 'https://openalex.org/W1919636199'
 'https://openalex.org/W1959945718' 'https://openalex.org/W196275196'
 'https://openalex.org/W1980959556' 'https://openalex.org/W2021840847'
 'https://openalex.org/W2027358895' 'https://openalex.org/W2036957835'
 'https://openalex.org/W2039354463' 'https://openalex.org/W2051426822'
 'https://openalex.org/W2062363309' 'https://openalex.org/W2063380184'
 'https://openalex.org/W2079257246' 'https://openalex.org/W2086182288'
 'https://openalex.org/W2118717649' 'https://openalex.org/W2122686617'
 'https://openalex.org/W2126810997' 'https://openalex.org/W2136315780'
 'https://openalex.org/W2136563227' 'https://openalex.org/W2148125714'
 'https://openalex.org/W2152146950' 'https://openalex.org/W2159064677'
 'https://openalex.org/W2317185977' 'https://openalex.org/W2344602429'
 'https://openalex.org/W2480739345' 'https://openalex.org/W2495239149'
 'https://openalex.org/W2499077297' 'https://openalex.org/W2588045567'
 'https://openalex.org/W2993650909' 'https://openalex.org/W3004326177'
 'https://openalex.org/W3121673887']",0,-1,"mis, systems, information systems, literature, information, research, terms, based",
jatspthis paper proposes an audience selection framework for online brand advertising based on user activities on social media platforms it is one of the first studies to our knowledge that develops and analyzes implicit brand–brand networks for online brand advertising this paper makes several contributions we first extract and analyze implicit weighted brand–brand networks representing interactions among users and brands from a large dataset we examine network properties and community structures and propose a framework combining text and network analyses to find target audiences as a part of this framework we develop a hierarchical community detection algorithm to identify a set of brands that are closely related to a specific brand this latter brand is referred to as the “focal brand” we also develop a global ranking algorithm to calculate brand influence and select influential brands from this set of closely related brands this is then combined with sentiment analysis to identify target users from these selected brands to process largescale datasets and networks we implement several mapreducebased algorithms finally we design a novel evaluation technique to test the effectiveness of our targeting framework experiments conducted with facebook data show that our framework provides significant performance improvements in identifying target audiences for focal brandsjatsp,Large-Scale Network Analysis for Online Social Brand Advertising1,MIS Quarterly,2016.0,10.25300/misq/2016/40.4.03,"[{'affiliation': array([], dtype=object), 'family': 'Zhang', 'given': 'Kunpeng', 'sequence': 'first'}
 {'affiliation': array([], dtype=object), 'family': 'Bhattacharyya', 'given': 'Siddhartha', 'sequence': 'additional'}
 {'affiliation': array([], dtype=object), 'family': 'Ram', 'given': 'Sudha', 'sequence': 'additional'}]",,1,5,"analysis, approach, behavioral, cognitive, design, development, form, integration, management, model","online, significant, model, integration, role, experiment, behavior, value"
