L1,L2,L2_path,size,label,top_terms
0,0,0.0,101,"software, software development, development, vendor, process, software engineering, engineering, jatsp","software, software development, development, vendor, process, software engineering, engineering, jatsp, quality, vendors, maintenance, packaged software"
0,1,0.1,103,"outsourcing, contracts, vendor, contract, vendors, client, outsource, cost","outsourcing, contracts, vendor, contract, vendors, client, outsource, cost, firms, outsourcing decisions, information, jatsp"
0,2,0.2,101,"project, projects, project management, project performance, management, project managers, success, performance","project, projects, project management, project performance, management, project managers, success, performance, managers, project risk, development, escalation"
0,3,0.3,75,"oss, open source, open, source, source software, community, projects, developers","oss, open source, open, source, source software, community, projects, developers, oss projects, software oss, oss community, software"
0,4,0.4,63,"risk, risk management, management, risks, risk factors, risk analysis, project risk, analysis","risk, risk management, management, risks, risk factors, risk analysis, project risk, analysis, factors, paper, information, jatsp"
0,5,0.5,50,"control, projects, controls, control mechanisms, formal, mechanisms, project control, development","control, projects, controls, control mechanisms, formal, mechanisms, project control, development, systems, clan, isd, formal control"
1,0,1.0,914,"technology, information, use, organizational, research, paper, case, adoption","technology, information, use, organizational, research, paper, case, adoption, systems, jatsp, change, study"
1,1,1.1,181,"digital, transformation, digital transformation, digital technologies, technologies, ecosystem, dt, research","digital, transformation, digital transformation, digital technologies, technologies, ecosystem, dt, research, digital technology, infrastructure, digital innovation, new"
1,2,1.2,541,"business, firms, firm, alignment, value, strategic, performance, investments","business, firms, firm, alignment, value, strategic, performance, investments, capabilities, competitive, strategy, capability"
1,3,1.3,232,"service, services, customer, service quality, customers, quality, online, providers","service, services, customer, service quality, customers, quality, online, providers, internet, service providers, loyalty, consumers"
1,4,1.4,144,"innovation, innovations, diffusion, adoption, assimilation, digital innovation, firms, model","innovation, innovations, diffusion, adoption, assimilation, digital innovation, firms, model, knowledge, open innovation, process innovation, ict"
1,5,1.5,77,"erp, implementation, erp systems, erp implementation, enterprise, enterprise resource, resource planning, planning erp","erp, implementation, erp systems, erp implementation, enterprise, enterprise resource, resource planning, planning erp, planning, resource, systems, process"
