cluster,size,Computer science,Business,Knowledge management,Engineering,Political science,Economics,Marketing,Psychology,Law,Philosophy,Operating system,Artificial intelligence,Information system,Epistemology,Sociology,Mathematics,World Wide Web,Process management,Biology,Electrical engineering,Programming language,Data science,Social psychology,Finance,Industrial organization,Management science,Process (computing),Context (archaeology),Microeconomics,Paleontology,Computer security,Public relations,Machine learning,Information technology,Physics,Strategic information system,Social science,Management,Soft Systems Methodology,Linguistics,Mechanical engineering,Internet privacy,Neuroscience,Software,Perspective (graphical),Human–computer interaction,Geometry,The Internet,Politics,Quality (philosophy),Quantum mechanics,Advertising,Pure mathematics,Chemistry,Work (physics),Statistics,Social media,Empirical Research,Empirical research,Systems engineering,Software engineering,Service (business),Medicine,Field (mathematics),Value (mathematics),Product (mathematics),Ecology,Set (abstract data type),Telecommunications,Risk analysis (engineering),Engineering management,Database,Economic growth,Operations management,Mathematical analysis,Archaeology,Data mining,Computer network,Geography,Accounting,Task (project management),Cognitive psychology,Engineering ethics,Perception,Art,Anthropology,Order (exchange),Biochemistry,Econometrics,Evolutionary biology,Outsourcing,Operations research,Market economy,Control (management),Key (lock),Incentive,Communication,Cognition,Corporate governance,Macroeconomics
-1,928,834,683,475,297,306,310,372,220,248,201,260,167,200,139,162,139,211,202,214,155,141,96,124,185,216,57,103,119,115,117,100,115,86,117,96,93,73,78,64,66,59,48,37,39,49,59,48,89,62,41,56,35,37,44,47,26,36,45,45,21,31,52,25,31,39,33,72,31,50,27,36,45,38,29,32,38,11,31,38,21,18,29,17,16,33,32,35,25,13,24,6,18,26,24,41,28,19,14,26,24
0.0.0,591,511,448,72,47,96,206,350,234,89,164,56,120,8,141,74,224,230,15,137,8,82,54,117,70,68,5,27,75,138,77,44,11,71,2,53,2,54,25,3,26,11,61,68,2,28,40,165,100,20,82,30,199,21,25,2,37,29,33,33,8,0,45,41,14,33,156,44,38,38,8,0,15,5,3,19,19,17,11,22,33,17,36,0,44,13,8,25,13,41,20,0,7,21,11,11,24,37,23,1,7
0.0.1,165,151,116,17,20,39,62,54,52,32,36,13,47,0,28,31,48,104,0,37,1,9,38,40,31,6,0,7,15,28,22,12,10,28,1,18,0,16,4,0,11,13,25,6,0,6,2,15,15,4,12,8,61,5,8,1,18,104,3,3,0,0,7,1,5,8,12,8,4,7,0,0,4,3,0,10,4,12,5,6,8,0,3,0,4,6,2,2,4,21,5,0,1,0,0,4,10,6,0,0,4
0.10.0,55,45,32,1,6,3,52,13,4,3,8,4,9,0,8,2,14,5,0,11,0,11,3,4,13,13,0,2,3,49,3,4,0,9,0,3,0,1,1,0,0,1,0,1,1,1,0,1,3,1,2,3,6,0,2,0,2,1,1,1,0,0,1,1,0,5,1,5,6,2,0,0,0,2,0,1,0,0,1,2,2,0,1,0,0,3,1,3,1,6,3,1,8,3,0,1,5,0,1,0,2
0.3.2,371,317,319,32,53,77,220,214,28,75,82,80,33,4,67,31,100,129,11,82,16,45,17,22,98,160,2,4,27,164,27,41,5,36,2,20,1,22,18,2,17,12,32,2,58,4,4,64,61,20,39,11,56,4,4,6,11,5,10,10,1,10,58,8,2,20,59,54,10,32,5,1,16,8,3,16,8,1,38,11,18,1,0,0,2,9,1,14,3,12,3,4,13,48,6,6,36,1,0,3,8
1.1.0,593,576,451,478,448,151,151,186,58,129,83,268,85,403,56,53,89,45,306,79,339,64,92,19,88,45,155,86,32,18,30,58,49,17,190,28,213,26,85,142,30,46,0,22,7,21,5,15,8,18,19,15,4,27,27,29,25,1,26,26,42,18,13,20,21,12,9,12,26,28,57,90,28,12,62,16,16,9,21,6,34,8,3,8,9,17,8,27,19,4,20,8,38,17,21,36,4,1,5,2,14
1.1.15,72,70,49,49,47,15,13,41,8,12,17,46,10,21,13,6,12,2,61,10,21,11,10,5,9,4,20,48,5,0,5,2,7,1,8,3,12,4,7,11,5,10,0,1,1,0,1,2,1,6,9,2,0,7,2,7,1,0,2,2,8,10,1,0,6,0,2,3,5,1,3,4,10,3,22,1,0,1,3,0,1,0,0,2,1,1,1,2,1,1,0,0,2,0,1,1,0,0,0,0,2
1.1.5,20,17,20,14,9,4,11,15,1,4,3,12,2,10,1,2,1,3,4,6,8,1,0,1,7,9,0,0,2,0,2,3,3,3,15,2,7,2,8,2,3,0,0,1,0,1,0,0,0,1,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,4,1,2,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,2
1.10.0,22,16,14,8,5,4,2,2,0,1,1,2,1,2,0,3,1,1,2,0,3,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10.4.0,407,406,111,209,200,66,54,26,89,65,99,64,238,105,72,24,105,48,75,53,97,108,101,20,33,2,98,60,31,3,34,12,2,49,7,27,24,13,22,32,36,13,0,41,23,12,37,16,3,35,22,7,0,20,14,7,41,2,10,10,44,44,2,23,18,3,7,6,24,9,19,21,78,0,25,35,6,82,11,12,7,32,17,3,9,8,5,6,8,6,4,0,43,3,7,7,1,2,32,1,1
11.0.2,228,224,62,184,129,44,61,18,143,38,66,86,79,39,59,48,64,20,61,23,35,25,28,88,7,0,33,53,15,10,16,9,8,12,17,14,15,15,31,15,10,45,2,38,15,10,24,5,6,1,29,6,0,34,48,44,17,2,11,11,29,21,2,7,29,3,3,3,7,10,1,21,8,2,14,10,6,7,10,6,2,33,20,10,7,8,10,0,5,0,2,0,11,3,4,4,3,8,20,0,10
12.1.1,173,152,128,98,46,97,86,54,48,83,49,40,26,43,37,39,12,18,31,36,23,12,22,16,20,10,13,14,24,17,21,16,49,19,22,17,22,23,14,22,15,8,17,7,2,11,2,2,0,9,21,9,1,7,4,7,0,6,3,3,1,4,23,58,7,11,0,12,2,9,7,8,3,70,8,2,8,2,6,6,3,2,2,3,3,4,4,3,2,3,2,0,4,3,7,3,11,7,2,3,4
14.2.1,56,55,49,49,30,15,12,24,3,12,12,20,6,21,8,8,4,0,47,15,20,12,2,1,16,9,5,16,12,3,11,2,3,3,5,7,14,3,8,12,5,4,0,1,4,4,1,2,0,1,1,6,0,0,5,4,1,0,3,3,4,10,1,1,0,1,1,1,0,0,3,6,0,1,6,0,3,0,15,2,1,2,0,0,1,3,1,6,2,0,3,0,1,0,0,2,1,0,0,1,1
2.0.1,22,19,11,10,1,1,6,9,13,0,4,3,10,1,2,7,1,11,0,1,1,4,3,8,1,0,0,1,2,3,1,2,1,0,0,3,0,3,2,1,2,0,4,3,0,0,9,0,0,0,0,3,2,0,0,0,0,1,0,0,0,2,6,0,0,0,0,0,2,0,1,0,1,0,0,1,3,0,0,0,0,1,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
